Wall time,Step,Value
1549735132.289836,33699,-5074.0107421875
1549735271.214317,65867,-2196.35400390625
1549735281.9774761,68044,-2316.71923828125
1549735368.5256371,85347,-2238.60009765625
1549735425.995232,98521,-1255.5164794921875
1549735477.6326,108787,974.3316650390625
1549735573.092611,128068,6401.78125
1549735579.741216,129544,6699.58203125
1549735592.4757252,132253,7367.99755859375
1549735657.110514,146747,8410.560546875
1549735661.728909,147791,8212.509765625
1549735683.299242,152688,8776.609375
1549735696.7830558,155718,8587.71484375
1549735704.0032089,157372,8590.76171875
1549735744.273115,165949,8387.96484375
1549735745.998594,166344,8389.1728515625
1549735752.359236,167784,8591.19921875
1549735778.360559,173583,8597.3984375
1549735793.028234,176956,9009.890625
1549735836.2716658,186654,8038.50146484375
1549735850.114986,189920,8045.9794921875
1549735862.572654,192877,7852.798828125
1549735871.904458,195074,8056.7578125
1549735922.1953359,205672,9074.1748046875
1549735945.261725,210255,8684.1748046875
1549735957.416529,212848,8492.3330078125
1549735962.603559,213934,8491.845703125
1549735963.097686,214044,8491.5302734375
1549735986.629382,218893,8291.5048828125
1549735995.82115,220860,8501.03515625
1549736004.213089,222795,9288.037109375
1549736011.881241,224494,9286.4697265625
1549736018.536874,225817,9084.521484375
1549736043.758188,231350,9490.1181640625
1549736048.8460002,232450,9490.6083984375
1549736054.010126,233423,9291.1376953125
1549736074.1974971,237461,8697.9111328125
1549736076.7196171,237926,8897.751953125
1549736077.971236,238167,8898.8916015625
1549736089.7208729,240277,8697.6416015625
1549736091.634248,240658,8695.837890625
1549736096.968927,241757,8494.6318359375
1549736104.2960541,243102,7891.4267578125
1549736113.1838279,244728,7882.96435546875
1549736140.018601,249544,7871.43310546875
1549736226.75776,266353,7476.2919921875
1549736242.73576,269157,7473.99560546875
1549736248.061259,270253,7078.43408203125
1549736248.507236,270350,6880.873046875
1549736252.9020212,271300,6286.52197265625
1549736255.5137541,271892,6487.4052734375
1549736265.307564,274162,6891.46435546875
1549736267.885658,274731,6688.77001953125
1549736275.790122,276314,6685.9404296875
1549736305.8640928,282809,7102.025390625
1549736307.683677,283240,7100.701171875
1549736311.28021,284074,7093.75927734375
1549736315.745984,284937,7688.345703125
1549736326.673462,287246,6883.75
1549736330.855399,288161,7084.36865234375
1549736332.9596128,288572,7486.30419921875
1549736363.3523772,295252,4928.10400390625
1549736365.935222,295769,5128.68212890625
1549736366.650636,295915,5129.05224609375
1549736375.561097,297737,5736.1787109375
1549736380.977049,298918,6144.0009765625
1549736403.0068731,303759,8728.087890625
1549736409.3403862,305171,8930.076171875
1549736432.691545,310197,8332.2333984375
1549736433.385568,310337,7933.5
1549736438.50689,311415,8135.65966796875
1549736440.1860428,311751,8135.884765625
1549736462.97021,315724,7140.697265625
1549736465.1274571,316171,7141.83984375
1549736473.84656,318005,7341.7255859375
1549736478.634416,319005,7740.3154296875
1549736482.422004,319814,7740.6396484375
1549736494.7867122,322399,8141.68408203125
1549736499.7822258,323361,8141.0849609375
1549736503.1954281,324093,8340.0283203125
1549736506.5378659,324804,8337.6318359375
1549736519.6548429,327572,8537.2353515625
1549736530.9485571,329996,8338.36328125
1549736537.194578,331353,8736.8564453125
1549736543.062836,332596,8938.5595703125
1549736544.401155,332882,8939.919921875
