Wall time,Step,Value
1549735132.2897558,33699,2811.0
1549735271.214241,65867,2922.0
1549735281.977407,68044,686.0
1549735368.5255702,85347,3000.0
1549735425.995157,98521,78.0
1549735477.632532,108787,164.0
1549735573.092541,128068,817.0
1549735579.741088,129544,515.0
1549735592.475635,132253,293.0
1549735657.110394,146747,186.0
1549735661.728835,147791,147.0
1549735683.299167,152688,133.0
1549735696.782987,155718,193.0
1549735704.003137,157372,353.0
1549735744.2730439,165949,339.0
1549735745.998519,166344,168.0
1549735752.359149,167784,109.0
1549735778.3604858,173583,388.0
1549735793.028139,176956,128.0
1549735836.2715242,186654,70.0
1549735850.114902,189920,90.0
1549735862.57257,192877,183.0
1549735871.904387,195074,262.0
1549735922.195262,205672,848.0
1549735945.2616699,210255,114.0
1549735957.416427,212848,135.0
1549735962.603477,213934,102.0
1549735963.097616,214044,110.0
1549735986.629309,218893,130.0
1549735995.821078,220860,106.0
1549736004.2130182,222795,173.0
1549736011.881172,224494,123.0
1549736018.536799,225817,188.0
1549736043.75811,231350,99.0
1549736048.8459258,232450,170.0
1549736054.0100322,233423,110.0
1549736074.197372,237461,163.0
1549736076.719521,237926,82.0
1549736077.9711092,238167,105.0
1549736089.720732,240277,124.0
1549736091.634114,240658,349.0
1549736096.968779,241757,159.0
1549736104.295912,243102,68.0
1549736113.183697,244728,473.0
1549736140.018465,249544,192.0
1549736226.757607,266353,178.0
1549736242.735662,269157,229.0
1549736248.061205,270253,59.0
1549736248.5070982,270350,97.0
1549736252.9019039,271300,90.0
1549736255.51368,271892,15.0
1549736265.30749,274162,84.0
1549736267.885582,274731,173.0
1549736275.7900438,276314,114.0
1549736305.864005,282809,151.0
1549736307.683605,283240,147.0
1549736311.2800682,284074,129.0
1549736315.7459142,284937,168.0
1549736326.673392,287246,127.0
1549736330.855319,288161,188.0
1549736332.9595258,288572,134.0
1549736363.352305,295252,36.0
1549736365.935153,295769,24.0
1549736366.6505651,295915,146.0
1549736375.56103,297737,74.0
1549736380.976991,298918,74.0
1549736403.006797,303759,62.0
1549736409.340309,305171,53.0
1549736432.6914911,310197,106.0
1549736433.385424,310337,22.0
1549736438.506834,311415,112.0
1549736440.1859782,311751,73.0
1549736462.970119,315724,27.0
1549736465.127393,316171,96.0
1549736473.846482,318005,115.0
1549736478.634298,319005,102.0
1549736482.421928,319814,123.0
1549736494.7866151,322399,72.0
1549736499.782153,323361,112.0
1549736503.1953669,324093,118.0
1549736506.537635,324804,124.0
1549736519.65479,327572,98.0
1549736530.94849,329996,100.0
1549736537.1945221,331353,83.0
1549736543.0627358,332596,97.0
1549736544.401089,332882,63.0
1549736552.805834,334277,116.0
1549736566.226274,337128,52.0
1549736581.2674959,340304,55.0
1549736585.2943182,341162,51.0
1549736588.9727092,341956,76.0
1549736591.3612201,342472,75.0
1549736595.0983639,343265,104.0
1549736599.419465,344191,81.0
1549736599.99758,344316,58.0
1549736600.551379,344434,19.0
1549736617.329812,347982,67.0
1549736632.425189,351211,88.0
1549736639.685864,352738,80.0
1549736643.309471,353514,116.0
1549736648.2431622,354580,57.0
1549736649.009832,354747,32.0
1549736652.1307251,355424,79.0
1549736667.527523,358657,88.0
1549736673.400724,359916,37.0
1549736677.0553012,360681,55.0
1549736678.178556,360920,94.0
1549736684.913795,362371,48.0
1549736696.873599,364931,116.0
1549736701.129266,365826,68.0
1549736708.59324,367445,65.0
1549736721.9203541,370317,54.0
1549736723.079977,370569,93.0
1549736723.497052,370658,89.0
1549736726.340405,371266,62.0
1549736728.6439219,371758,85.0
1549736731.628205,372382,87.0
1549736749.525416,376013,77.0
1549736751.608137,376510,71.0
1549736754.1837618,377128,38.0
1549736760.4323819,378629,97.0
1549736761.706412,378937,75.0
1549736764.690225,379660,65.0
1549736766.5855,380117,72.0
1549736767.603434,380364,50.0
1549736772.375615,381514,53.0
1549736773.493647,381774,29.0
1549736773.77313,381842,68.0
1549736774.976655,382133,69.0
1549736778.892446,383044,36.0
1549736780.360811,383399,123.0
1549736785.010473,384520,67.0
1549736789.2473469,385507,63.0
1549736792.085357,386171,109.0
1549736795.418636,386950,60.0
1549736801.3094149,388361,44.0
1549736803.508487,388885,56.0
1549736812.644744,391055,65.0
1549736812.776405,391086,31.0
1549736813.293827,391208,44.0
1549736824.3046908,393863,66.0
1549736826.543638,394404,66.0
1549736828.94931,394985,76.0
1549736829.324876,395075,77.0
1549736830.723296,395413,109.0
1549736837.66326,397056,66.0
1549736837.865197,397104,48.0
1549736840.5531101,397752,15.0
1549736841.020362,397863,55.0
1549736842.285782,398168,93.0
1549736845.380447,398910,74.0
1549736847.425594,399405,94.0
1549736849.8420851,399986,11.0
1549736853.818932,400943,69.0
1549736855.6436858,401385,76.0
1549736869.9345012,404796,94.0
1549736892.857332,410325,88.0
1549736898.48858,411651,59.0
1549736907.3012202,413769,41.0
1549736910.557431,414553,48.0
1549736918.8453262,416531,60.0
1549736939.318451,421378,48.0
1549736944.10709,422518,68.0
1549736950.067115,423950,65.0
1549736959.746162,426221,58.0
