Wall time,Step,Value
1542533290.493057,253567,-188292064.0
1542533809.344351,405098,-109278536.0
1542533921.2780669,437856,-108684776.0
1542534426.356595,584785,-80665200.0
1542534748.741385,678507,-66821648.0
1542535910.9822521,1001401,-29023252.0
1542535983.310485,1020661,-27867408.0
1542536898.934044,1247398,-16968236.0
1542536962.499845,1264420,-17020798.0
1542537206.847584,1329725,-15876323.0
1542537350.2555609,1366078,-14283961.0
1542537819.876828,1486557,-14407786.0
1542537849.463273,1494136,-13885426.0
1542537948.773716,1519683,-13465704.0
1542538357.913172,1620667,-13723556.0
1542538543.769085,1668399,-13316339.0
1542539201.816545,1839565,-12143005.0
1542539625.991968,1947629,-13647847.0
1542539820.110629,1997749,-14094697.0
1542540460.444075,2158379,-13670592.0
1542540691.8979058,2221477,-13643824.0
1542540799.163764,2249939,-12423211.0
1542540901.297753,2276292,-12307558.0
1542540903.7049139,2276961,-12209313.0
1542541181.502441,2346015,-8199085.0
1542541283.401388,2371335,-7273475.5
1542541451.350061,2414892,-8499545.0
1542541501.1323059,2428126,-8475704.0
1542541911.415669,2537389,-10126647.0
1542541949.215456,2547703,-9892526.0
1542542265.929569,2636603,-8978695.0
1542542315.606946,2650557,-9522238.0
1542542317.41771,2651059,-9511767.0
1542542428.777482,2682327,-10204521.0
1542542435.842672,2684317,-10213362.0
1542542529.510831,2710623,-8749855.0
1542542564.16385,2720318,-8522263.0
1542542776.4033191,2779925,-9340926.0
1542543511.5202339,2986124,-9532043.0
1542543690.7116249,3036362,-9171489.0
1542543702.7018611,3039732,-9228154.0
1542543754.3947039,3054214,-8404769.0
1542543859.6310039,3083680,-6999734.5
1542543863.175179,3084667,-6261860.5
1542543881.3711019,3089314,-5063921.5
1542544075.742639,3142602,-4597069.0
1542544096.899174,3148499,-4688978.0
1542544215.7649431,3181521,-3913352.25
1542544221.811266,3183194,-3909735.25
1542544228.503671,3185046,-3905623.5
1542544533.978965,3270492,-5842656.5
1542544561.6156979,3278226,-5514717.0
1542544564.981632,3279170,-5153687.5
1542544619.1610692,3294252,-3901335.25
1542544892.5818188,3370747,-4508640.5
1542545034.986774,3410647,-4714450.0
1542545159.1217332,3444829,-3218753.75
1542545163.010139,3445813,-3115066.0
1542545189.199967,3452488,-3001033.5
1542545194.594676,3453941,-2983610.0
1542545339.902279,3493445,-1327897.0
1542545358.302668,3498579,-1319603.5
1542545425.765814,3517466,-1749045.875
1542545441.034522,3521717,-1748679.125
1542545463.9697878,3528137,-1759499.375
1542545554.914489,3553488,-2010057.125
1542545563.687052,3555924,-1488722.5
1542545578.602956,3560078,-1222758.75
1542545664.60757,3583772,-1749771.0
1542545782.697463,3616462,-2901858.0
1542545806.8087292,3623137,-2540063.25
1542545827.955541,3629010,-2542622.0
1542545832.163407,3630047,-2443258.0
1542545869.607648,3640338,-2794612.25
1542545938.6018739,3659518,-1483273.875
1542546035.08006,3686101,-1551907.75
1542546090.180405,3701464,-2471301.5
1542546195.7251148,3730850,-3402715.5
1542546302.0868428,3760480,-4486861.0
1542546329.45667,3768082,-4776583.5
1542546348.781827,3773486,-4863229.5
1542546375.1764328,3780861,-5115888.0
1542546490.516603,3812957,-4850225.5
1542546545.4180732,3828166,-1241889.875
1542546570.874271,3835209,-564215.1875
1542546580.2357519,3837606,-501971.34375
1542546595.7156649,3841527,-63819.73828125
1542546599.5432909,3842481,-64642.765625
1542546612.203399,3845992,-170990.65625
1542546646.891316,3855577,-159805.078125
1542546660.456762,3859325,-138492.40625
1542546673.470537,3862917,-145181.015625
1542546675.4097762,3863449,-144495.0
1542546868.836472,3917394,-2607117.5
1542546874.8340402,3919053,-2603862.25
1542546903.262558,3926936,-2713594.25
1542546982.383586,3948861,-2097192.25
1542546994.0144,3952100,-1758605.75
1542547014.01489,3957635,-1494641.5
1542547038.342984,3964397,-949000.8125
1542547230.617429,4017756,-870377.75
1542547247.134845,4022350,-746880.1875
1542547257.784441,4025314,-714427.3125
1542547279.442945,4031329,-528280.5
1542547309.759949,4039749,-620604.25
1542547321.179134,4042921,-507030.03125
1542547323.291347,4043507,-507150.1875
1542547363.8275661,4054739,-504523.375
1542547371.7097442,4056929,-501186.09375
1542547463.910021,4082603,-1277599.875
1542547526.7245681,4100069,-1782058.75
1542547568.833993,4111772,-2012089.75
1542547585.072823,4116294,-2019297.5
1542547688.9666429,4145247,-2373071.75
1542547690.037565,4145547,-2373362.25
1542547692.8278432,4146306,-2475347.25
1542547907.724133,4206343,-4523315.5
1542547924.318218,4210955,-4336689.0
1542547925.0225432,4211150,-4435929.5
1542547933.786617,4213590,-4109137.25
1542547959.800668,4220802,-3220009.25
1542547960.153593,4220898,-3214646.0
1542547971.0769181,4223933,-2521698.5
1542547975.570571,4225188,-2295311.75
1542547981.227926,4226758,-1828208.125
1542547996.438334,4230970,-1264822.625
1542548009.8472161,4234719,-829928.5
1542548029.417701,4240170,-603587.9375
1542548097.104291,4259090,-1052220.0
1542548121.1928709,4265795,-1295893.5
1542548284.199723,4311100,-301814.25
1542548327.9576142,4323286,-833468.375
1542548431.1108952,4352030,-1734497.875
1542548455.421302,4358791,-1789007.625
1542548498.287632,4370658,-1653447.25
1542548754.6392949,4441972,-2385481.0
1542548873.823817,4474813,-1225818.375
1542548881.076842,4476810,-1124840.75
1542548923.309984,4488520,-265867.75
1542548960.4924989,4498855,-466145.0625
1542548964.453269,4499961,-467378.5625
1542549121.012438,4543467,-1512960.25
1542549339.9785879,4604503,-3830487.0
1542549394.873431,4619782,-3093473.5
1542549396.873622,4620333,-3094197.5
1542549506.90449,4650951,-1271725.5
